"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE"
"LOUISE ECCLES, PERSONAL FINANCE CORRESPONDENT FOR THE DAILY MAIL","November 15, 2016 Tuesday 11:02 PM GMT",,"Homes for sale fall to 40-year low: Brexit, stamp duty and tax hikes on landlords leave average estate agent with just 44 properties on its book","181 words","MailOnline","MORTGAGES & HOME",
"James Quinn","November 20, 2016",,"'The uncertainty is not good for BT. It's not good for the country as a whole'; The Sunday Interview Gavin Patterson After a difficult year, BT's famously laid-back boss aims to pull on the heartstrings of the pro-Brexit Government, says James Quinn","1835 words","The Sunday Telegraph (London)","BUSINESS; Pg. 9",
"DANIEL MARTIN, CHIEF POLITICAL CORRESPONDENT FOR THE DAILY MAIL and HUGO DUNCAN FOR THE DAILY MAIL","November 24, 2016 Thursday 11:43 PM GMT",,"Who are they trying to kid? Top economists accused of Brexit doom-mongering after claiming today's living standards are worst since 1920","1850 words","MailOnline","NEWS",
"Jon Henley and Peter Walker","November 15, 2016 Tuesday 7:00 AM GMT",,"Brexit weekly briefing: how does Trump's win affect UK's EU exit plan?; MPs took comfort in knowing the US election wasn't chaos of their own making as Farage took an 'ego trip' to New York","1859 words","The Guardian","POLITICS",
,"November 22, 2016 Tuesday",,"Brexit boosts Black Friday","186 words","Daily Star","NEWS; Pg. 11",
"BRIAN HUTTON","November 18, 2016 Friday",,"LOUGH & LOAD; Brexit sparks new war over Foyle lake ownership","186 words","The Sun (England)","NEWS; Pg. 4",
"By Peter Foster , Europe Editor","November 16, 2016 Wednesday 4:11 PM GMT",,"Theresa May does have a plan for Brexit - the question is whether Europe is big enough to embrace it","1889 words","telegraph.co.uk","NEWS",
"By Michael Wilkinson, Political Correspondent","November 15, 2016 Tuesday 8:38 AM GMT",,"Theresa May's Government has no Brexit plan, leaked memo says","1893 words","telegraph.co.uk","NEWS",
,"November 18, 2016 Friday",,"Market is holding up after Brexit, says property trust","192 words","The Times (London)","BUSINESS; Pg. 48",
,"November 18, 2016 Friday",,"Brexit fears not Close to reality; banking & Finance","192 words","The Times (London)","BUSINESS; Pg. 51",
,"November 25, 2016 Friday 5:56 PM GMT",,"Nicola Sturgeon needs to GET OVER being on the losing side of Brexit, blasts DAVID COBURN","1920 words","Express Online",,
"CITY & FINANCE REPORTER FOR THE DAILY MAIL","November 17, 2016 Thursday 8:34 PM GMT",,"Wine prices will have to go up due to pound's Brexit plonk, warns Majestic boss","194 words","MailOnline","MARKETS",
"LESLEY-ANNE McKEOWN","November 25, 2016 Friday",,"Farmer not feeling fowl over Brexit aftermath","195 words","Daily Mirror","NEWS; Pg. 14",
"RUTH McKEE","November 17, 2016 Thursday",,"'REMAIN FLYER IN BAG OF JO KILLER'; Anti-Brexit info was 'with gun and knife'","196 words","Daily Star","NEWS; Pg. 9",
"Jon Henley and Peter Walker","November 22, 2016 Tuesday 7:00 AM GMT",,"Brexit weekly briefing: CBI pleads for clarity but PM settles for hints; Business group fails to get May to open up other than allusion to transitional deal, and Boris gets slapped down by EU ministers","1961 words","The Guardian","POLITICS",
"TOM NEWTON DUNN","November 19, 2016 Saturday",,"TORIES RAISE BREXIT HEAT; GIVE US CLEAN BREAK ; Letter tells May to shun single market","198 words","The Sun (England)","NEWS; Pg. 2",
"Shaun Connolly","November 23, 2016 Wednesday 9:15 AM GMT",,"Supermarket prices 'will rise at least 5% next year as a result of Brexit'; Justin King, former CEO of Sainsbury's, said the decline in the value of the pound will make it difficult for retailers to calm price hikes","199 words","The Independent (United Kingdom)","BUSINESS NEWS",
,"November 25, 2016 Friday 12:01 AM GMT",,"Letters:A profit from Brexit is more likely than the Chancellor's gloomy forecast","1992 words","telegraph.co.uk","OPINION",
"Rehema Figueiredo","November 23, 2016 Wednesday 12:01 AM GMT",,"MAKE UP YOUR MIND: Now Sturgeon's Brexit negotiator hints SNP WILL accept leaving the EU","20 words","Express Online",,
"BRIAN HUTTON","November 18, 2016 Friday",,"WE TAKE ON BRITISH OVER LOUGH CLAIM; FIRST BREXIT BATTLE LOOMS","200 words","The Sun (England)","NEWS; Pg. 4",
,"November 22, 2016 Tuesday",,"Brexit and the EEA; Letters to the Editor","201 words","The Times (London)","LETTERS; Pg. 36",
"Helen Pidd North of England editor and Frances Perraudin North of England reporter","November 23, 2016 Wednesday 7:41 PM GMT",,"'It's all right for the big boys': Lancaster's traders react to the autumn statement; Small business owners in the Brexit-voting English city respond to the measures Philip Hammond announced","2011 words","The Guardian","UK NEWS",
"Jack de Menezes","November 17, 2016 Thursday 12:21 PM GMT",,"Manchester United debt increases by nearly 20% to £338m after Brexit vote causes collapse in value of the pound; United have seen their debt increase by over £50m following the vote to leave the European Union and the failure to qualify for the Champions League","202 words","The Independent (United Kingdom)","PREMIER LEAGUE",
"Sarah Marsh and Guardian readers","November 16, 2016 Wednesday 12:40 PM GMT",,"'I hate cynicism; you have to fight': 1960s activists on modern politics; From Donald Trump to Brexit, the world is changing rapidly. Here, those who lived through the transformative 1960s give their view on changing times","2048 words","The Guardian","OPINION",
"JEFF FARRELL","November 18, 2016 Friday",,"NHS CRISIS AS NURSES HEAD TO THE BREXIT; Racist abuse hits Euro staff","206 words","Daily Star","NEWS; Pg. 2",
"Steven Swinford","November 18, 2016 Friday",,"EU bills will go on after Brexit, warns Germany","206 words","The Daily Telegraph (London)","NEWS; Pg. 1",
"Editorial","November 17, 2016 Thursday 7:21 PM GMT",,"The Guardian view on Brexit and the Lords: power to examine; The British government cannot expect peers to rubber-stamp its EU timetable","206 words","The Guardian","OPINION",
"Chris Green SCOTLAND EDITOR","November 23, 2016",,"'Informal' talks held with Spain over Brexit deal; SCOTLAND","207 words","i-Independent Print Ltd","NEWS; Pg. 6",
"TOM NEWTON DUNN","November 22, 2016 Tuesday",,"EU CLIFFHANGER; PM wants stopgap deal to save firms from edge BREXIT 1","207 words","The Sun (England)","NEWS; Pg. 6",
"Shaun Connolly","November 23, 2016 Wednesday 9:15 AM GMT",,"Supermarket prices 'will rise at least 5 per cent next year as a result of Brexit'; Justin King, former CEO of Sainsbury's, said the decline in the value of the pound will make it difficult for retailers to calm price hikes","209 words","The Independent (United Kingdom)","BUSINESS NEWS",
"KATE NELSON","November 19, 2016 Saturday",,"LORD 'ODIOUS'; MP's fury at Brexit basher","209 words","Daily Star","NEWS; Pg. 19",
,"November 16, 2016 Wednesday",,"Councils want devolved powers after Brexit","209 words","The Daily Telegraph (London)","NEWS; Pg. 8",
"Alan Jones","November 14, 2016",,"Fall in wages likely in Brexit slowdown; EMPLOYMENT","210 words","i-Independent Print Ltd","NEWS; Pg. 5",
"TIM SCULTHORPE, MAILONLINE DEPUTY POLITICAL EDITOR","November 24, 2016 Thursday 1:13 PM GMT",,"Workers' wages in 2021 will STILL be worth less than they were in 2008 as Brexit slowdown extends 'dreadful' decade of stalled earnings growth","2114 words","MailOnline","NEWS",
"Hamish Macdonell","November 17, 2016 Thursday",,"SNP could trigger Brexit, says Salmond","212 words","The Times (London)","NEWS; Pg. 14",
,"November 22, 2016",,"Over the cliff edge; Negotiations over how we leave the EU will be incredibly complex and our politicians are divided. In a vision of us stumbling into the hardest of Brexits, Ian Dunt warns how it could all go wrong","2120 words","i-Independent Print Ltd","FEATURES; Pg. 32",
,"November 18, 2016 Friday",,"Nurses leaving NHS 'because of Brexit'","214 words","The Times (London)","NEWS; Pg. 4",
"Archie Bland","November 14, 2016 Monday 4:53 PM GMT",,"Britain?'s new heroes of the resistance: Lego, Prince Harry and 'Continuity ?remain'; Since the Brexit vote, it has fallen to some unlikely voices to say the things conventional political opposition cannot. For some, they are 'enemies of the people'. For the 48%, they are beacons of hope","2140 words","The Guardian","POLITICS",
"Guardian readers","November 24, 2016 Thursday 6:23 PM GMT",,"Have you changed your mind about your EU referendum vote?; Following the autumn statement's warnings about the economic implications of Brexit, we want to know if you're having second thoughts about your vote","218 words","The Guardian","POLITICS",
"Peter Foster","November 23, 2016 Wednesday",,"Europe's lack of growth 'is more worrying for world than Brexit' says senior IMF chief","218 words","The Daily Telegraph (London)","BUSINESS; Pg. 1",
"JEFF FARRELL","November 16, 2016 Wednesday",,"BORED with BREXIT; PM's speech causes guests to nod off","221 words","Daily Star","FEATURES; Pg. 6",
"By Rhiannon Bury","November 14, 2016 Monday 12:01 AM GMT",,"Former Cameron special adviser joins EY Brexit unit","222 words","telegraph.co.uk","BUSINESS",
"BRIAN HUTTON","November 18, 2016 Friday",,"IT'S FOYLE'S WAR...; Border dispute for lough after Brexit","223 words","Daily Mirror","NEWS; Pg. 20",
"STEVE HAWKES","November 17, 2016 Thursday",,"CZECHS' BREXIT BOUNCE; 50,000 MORE EAST EUROPEANS TAKE UK JOBS AFTER EU VOTE","225 words","The Sun (England)","NEWS; Pg. 2",
"Shaun Connolly","November 14, 2016",,"Boris given pole position for use of 'Brexit Towers'; POLITICS","227 words","i-Independent Print Ltd","NEWS; Pg. 5",
"BRIAN HUTTON","November 18, 2016 Friday",,"IT'S FOYLE'S WAR...; Border dispute over Lough after Brexit","230 words","Daily Mirror","NEWS; Pg. 6",
"Henry Zeffman","November 19, 2016 Saturday",,"I've had death threats since Brexit vote, says Tory MP","231 words","The Times (London)","NEWS; Pg. 10",
,"November 18, 2016 Friday",,"Delivering Brexit means quitting single market; THE NORTHERN & SHELL BUILDING NUMBER 10 LOWER THAMES STREET, LONDON EC3R 6EN Tel: 020 8612 7000 (outside UK: +44 20 8612 7000)","231 words","The Express","Pg. 12",
"MICHAEL DOYLE","November 24, 2016 Thursday",,"(EURO)69BILLION COST OF BREXIT TO THE BRITS","232 words","The Sun (England)","NEWS; Pg. 4",
"SATURDAY ESSAY BY JOHN SUTHERLAND","November 19, 2016 Saturday 12:13 AM GMT",,"How the young declared war on the old (And why I'm fighting back): JOHN SUTHERLAND on how Brexit encouraged a state-condoned campaign to wipe out the nation's 'wrinklies'","2323 words","MailOnline","RIGHTMINDS",
"THIS IS MONEY MARKET REPORTERS","November 16, 2016 Wednesday 8:36 AM GMT",,"FTSE LIVE: Footsie weaker as oil prices retreat; pound turns lower on Brexit fear, mixed UK data","2323 words","MailOnline","MARKETS",
"By Michael Wilkinson, Political Correspondent","November 16, 2016 Wednesday 8:05 AM GMT",,"Angela Merkel signals key concession on freedom of movement as Canada warms to 'particularly special' relationship with post-Brexit Britain","2326 words","telegraph.co.uk","NEWS",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","November 23, 2016 Wednesday 1:14 PM GMT",,"UK's economic growth over the next five years will be 2.4% LOWER because of Brexit but there will be NO recession, official forecasts predict","234 words","MailOnline","NEWS",
"Shehab Khan","November 22, 2016 Tuesday 3:30 PM GMT",,"Trump, Putin and Erdogan a 'ring of autocrats' trying to destroy Europe, says EU's chief Brexit negotiator","234 words","The Independent (United Kingdom)","EUROPE",
"Shehab Khan","November 14, 2016",,"Brexit challenger Miller: 'It isn't safe for me to go outside'; POLITICS","235 words","i-Independent Print Ltd","NEWS; Pg. 5",
"AuslanCramb","November 17, 2016 Thursday",,"Brexit worries fail to make serious impact on estate sales","236 words","The Daily Telegraph (London)","NEWS; Pg. 6",
"Jamie Nimmo","November 22, 2016",,"Plastic surgery consumers put on a brave face despite Brexit; INDUSTRY","238 words","i-Independent Print Ltd","NEWS; Pg. 41",
"Greg Heffer, Political Reporter","November 21, 2016 Monday 9:54 AM GMT",,"Britain to become CHAMPION of global trade - Theresa May sets out Brexit vision","238 words","Express Online",,
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE, TIM SCULTHORPE, DEPUTY POLITICAL EDITOR FOR MAILONLINE and MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","November 21, 2016 Monday 1:38 AM GMT",,"PM faces fury after hinting at 'transitional' Brexit deal to appease City firms that could see us tied to the EU for YEARS","2392 words","MailOnline","NEWS",
,"November 19, 2016 Saturday",,"Brexit THINK TANK","24 words","The Times (London)","NEWS; Pg. 2",
,"November 16, 2016 Wednesday",,"Burka sculpture attacked after Brexit vote","240 words","The Daily Telegraph (London)","NEWS; Pg. 11",
"Ben Chu","November 16, 2016 Wednesday 9:34 AM GMT",,"Brexit latest: Unemployment rates falls to 11-year low - but signs of hiring slowdown; The jobless rate edged down to 4.8 per cent in September, the lowest since 2005","242 words","The Independent (United Kingdom)","BUSINESS NEWS",
"JACK BLANCHARD","November 24, 2016 Thursday",,"GROWING NOWHERE; AUTUMN STATEMENT: PAYING PRICE OF BREXIT Taxpayers to foot £60bn cost of EU decision over 5yrs Borrowing splurge will push debt to record levels","2430 words","Daily Mirror","NEWS; Pg. 8,9",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","November 24, 2016 Thursday 10:42 AM GMT",,"Plunging pound will add £2.7billion to Britain's EU bill and we could be forced to continue paying Brussels even AFTER Brexit, watchdog predicts","244 words","MailOnline","NEWS",
"By Michael Wilkinson, Political Correspondent","November 15, 2016 Tuesday 8:38 AM GMT",,"Theresa May's Government has no Brexit plan, leaked memo says","2478 words","telegraph.co.uk","NEWS",
"Zoie O'Brien","November 18, 2016 Friday 12:17 PM GMT",,"BREAKING: Anti-Brexit Sturgeon WILL be able to intervene in court case Supreme Court rules","249 words","Express Online",,
"Marion Dakers","November 20, 2016",,"CBI chief : firms back Brexit but want it to be 'smooth'","252 words","The Sunday Telegraph (London)","BUSINESS;NEWS; Pg. 2",
"ROB MERRICK DEPUTY POLITICAL EDITOR","November 19, 2016 Saturday",,"Scotland and Wales win right to intervene in Brexit","252 words","The Independent - Daily Edition","NEWS; Pg. 6",
"Tommy Stubbington","November 20, 2016 Sunday",,"Bosses warn against Brexit 'cliff edge'","253 words","The Sunday Times (London)","BUSINESS; Pg. 2",
"Christopher Hooton","November 16, 2016 Wednesday 9:12 AM GMT",,"'Post-truth' named Oxford Dictionaries' Word of the Year in wake of Donald Trump and Brexit; It beat 'alt-right', 'Brexiteer' and 'woke'","253 words","The Independent (United Kingdom)","NEWS",
